Segmento	CNPJ	Nome
S1	0	BANCO DO BRASIL - PRUDENCIAL
S1	60746948	BRADESCO - PRUDENCIAL
S1	30306294	BTG PACTUAL - PRUDENCIAL
S1	360305	CAIXA ECONOMICA FEDERAL - PRUDENCIAL
S1	60872504	ITAU - PRUDENCIAL
S1	90400888	SANTANDER - PRUDENCIAL
S2	92702067	BANRISUL - PRUDENCIAL
S2	7237373	BANCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL
S2	33657248	BNDES - PRUDENCIAL
S2	33479023	CITIBANK - PRUDENCIAL
S2	33987793	CREDIT SUISSE - PRUDENCIAL
S2	58160789	SAFRA - PRUDENCIAL
S2	59588111	VOTORANTIM - PRUDENCIAL
S3	28195667	ABC-BRASIL - PRUDENCIAL
S3	60770336	ALFA - PRUDENCIAL
S3	655522	APE POUPEX
S3	2992446	BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL
S3	2038232	BANCOOB - PRUDENCIAL
S3	28127603	BANESTES - PRUDENCIAL
S3	31597552	BANCO CLASSICO S.A. - PRUDENCIAL
S3	8357240	BANCO CSF S.A. - PRUDENCIAL
S3	4902979	BANCO DA AMAZONIA S.A. - PRUDENCIAL
S3	62232889	BANCO DAYCOVAL S.A - PRUDENCIAL
S3	38486817	BANCO DES. DE MG S.A. - PRUDENCIAL
S3	58616418	BANCO FIBRA S.A. - PRUDENCIAL
S3	1023570	BANCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL
S3	60518222	BANCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL
S3	60498557	BANCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL
S3	92816560	BD REGIONAL DO EXTREMO SUL - PRUDENCIAL
S3	61186680	BMG - PRUDENCIAL
